item_id,country,mean_response
0,Albania,4.402922755741128
0,Andorra,2.0051546391752577
0,Azerbaijan,8.021063189568707
0,Argentina,1.3508583690987124
0,Australia,5.6024774774774775
0,Austria,7.0636743215031315
0,Bangladesh,1.689
0,Armenia,1.3868686868686868
0,Bolivia,3.3036303630363038
0,Bosnia Herzegovina,1.7647058823529411
0,Brazil,4.970725995316159
0,Bulgaria,2.5080558539205153
0,Myanmar,1.7177177177177176
0,Belarus,2.458725182863114
0,Canada,7.671328671328671
0,Chile,5.012903225806451
0,China,2.2745490981963927
0,Taiwan ROC,4.400599400599401
0,Colombia,4.058
0,Croatia,3.290356394129979
0,Cyprus,3.860064585575888
0,Czechia,6.464059196617336
0,Denmark,8.813065326633165
0,Ecuador,3.7090719499478624
0,Ethiopia,1.6371061843640609
0,Estonia,3.75323275862069
0,Finland,7.2559585492227985
0,France,6.756786102062975
0,Georgia,1.4407294832826747
0,Germany,7.7402061855670095
0,Greece,4.670135275754422
0,Guatemala,3.730886850152905
0,Hong Kong SAR,4.918864097363084
0,Hungary,3.7725856697819315
0,Iceland,9.023565573770492
0,Indonesia,1.6234939759036144
0,Iran,1.6036217303822937
0,Iraq,2.3084648493543756
0,Italy,6.047770700636943
0,Japan,6.711431742508324
0,Kazakhstan,2.218645948945616
0,Jordan,1.2729103726082578
0,Kenya,3.0062565172054225
0,South Korea,3.2274549098196395
0,Kyrgyzstan,1.4783068783068782
0,Lebanon,2.3333333333333335
0,Latvia,3.341304347826087
0,Libya,1.1219251336898395
0,Lithuania,2.759825327510917
0,Macau SAR,5.258517034068136
0,Malaysia,3.595
0,Maldives,1.2680000000000002
0,Mexico,4.388259526261586
0,Mongolia,3.7377377377377377
0,Montenegro,1.848515864892528
0,Morocco,2.774225774225774
0,Netherlands,8.791530944625407
0,New Zealand,7.326460481099656
0,Nicaragua,3.2680000000000002
0,Nigeria,1.5060000000000002
0,Norway,8.39329268292683
0,Pakistan,1.5947916666666668
0,Peru,2.839958158995816
0,Philippines,4.4990000000000006
0,Poland,3.9841938883034773
0,Portugal,4.791013584117033
0,Puerto Rico,5.579055441478439
0,Romania,2.24364406779661
0,Russia,2.4575371549893843
0,Serbia,2.8164556962025316
0,Singapore,3.489404641775984
0,Slovakia,5.098081023454157
0,Vietnam,5.642642642642643
0,Slovenia,5.509947643979058
0,Zimbabwe,1.722444889779559
0,Spain,7.0
0,Sweden,8.685450819672132
0,Switzerland,7.570696721311476
0,Thailand,4.272177419354839
0,Tunisia,1.405241935483871
0,Turkey,2.0787321063394684
0,Ukraine,2.5793650793650795
0,North Macedonia,2.1600831600831603
0,Great Britain,7.624999999999999
0,United States,6.185147507629705
0,Uruguay,6.632829373650107
0,Venezuela,4.181818181818182
0,Northern Ireland,6.842535787321062
1,Andorra,4.724845995893224
1,Argentina,8.188128772635814
1,Australia,6.202162162162162
1,Bangladesh,7.95954356846473
1,Armenia,1.5114885114885115
1,Bolivia,3.8825396825396825
1,Brazil,5.962203023758099
1,Myanmar,1.6272545090180361
1,Canada,7.750249750249751
1,Chile,6.366982124079915
1,China,3.678391959798995
1,Taiwan ROC,5.161161161161161
1,Colombia,5.047047047047047
1,Cyprus,5.81505376344086
1,Czechia,7.928355196770939
1,Ecuador,3.9989764585465712
1,Ethiopia,1.922
1,Germany,8.5265306122449
1,Greece,7.362333674513818
1,Guatemala,4.002038735983691
1,Hong Kong SAR,5.134944612286001
1,Indonesia,1.651302605210421
1,Iran,2.2454909819639277
1,Japan,6.875809935205184
1,Kazakhstan,4.541524459613197
1,Jordan,1.2540322580645162
1,Kenya,4.117890382626681
1,South Korea,4.775
1,Kyrgyzstan,1.976842105263158
1,Lebanon,2.278391959798995
1,Libya,1.1198738170347002
1,Macau SAR,5.670340681362725
1,Malaysia,3.8240000000000003
1,Maldives,1.653306613226453
1,Mexico,4.79531568228106
1,Mongolia,4.594594594594595
1,Morocco,3.144
1,Netherlands,8.827777777777778
1,New Zealand,7.9049676025917925
1,Nicaragua,4.093
1,Nigeria,2.692618806875632
1,Pakistan,1.584008097165992
1,Peru,4.348813209494324
1,Philippines,4.266533066132265
1,Puerto Rico,5.116161616161616
1,Romania,4.7155172413793105
1,Russia,6.071129707112971
1,Serbia,5.8911637931034475
1,Singapore,4.091001011122345
1,Slovakia,6.956476683937824
1,Vietnam,5.526526526526526
1,Zimbabwe,2.3597989949748746
1,Tajikistan,2.1337325349301395
1,Thailand,4.479229989868288
1,Tunisia,1.5272177419354838
1,Turkey,2.3490276356192425
1,Ukraine,5.939903846153846
1,Great Britain,8.166156982670744
